Datetime,Open,High,Low,Close,Volume
2024-08-01,1.2854,1.30166,1.28136,1.30048,9603
2024-08-02,1.29992,1.30679,1.29239,1.30448,9572
2024-08-03,1.30448,1.30857,1.29936,1.30203,9259
2024-08-04,1.30208,1.31458,1.29945,1.30956,9736
2024-08-05,1.30997,1.31524,1.29563,1.30123,9706
2024-08-06,1.30074,1.3138,1.29622,1.29796,9392
2024-08-07,1.29691,1.30365,1.29075,1.30314,9145
2024-08-08,1.30418,1.30628,1.29624,1.29765,9784
2024-08-09,1.29731,1.29788,1.28776,1.29337,9385
2024-08-10,1.293,1.30186,1.28949,1.29944,9841
2024-08-11,1.29859,1.29862,1.28211,1.28618,9683
2024-08-12,1.2869,1.28806,1.27322,1.28262,9269
2024-08-13,1.2822,1.28554,1.26483,1.26786,9359
2024-08-14,1.26797,1.27287,1.25876,1.26383,9427
2024-08-15,1.26359,1.27058,1.25679,1.25913,9374
2024-08-16,1.25933,1.26262,1.24934,1.24947,9725
2024-08-17,1.24976,1.25306,1.23706,1.23951,9732
2024-08-18,1.23981,1.24237,1.23343,1.24045,9456
2024-08-19,1.24109,1.24663,1.23499,1.23536,9202
2024-08-20,1.2358,1.24988,1.2339,1.24613,9182
2024-08-21,1.24582,1.2517,1.23858,1.24948,9201
2024-08-22,1.24917,1.24946,1.23038,1.23142,10253
2024-08-23,1.23132,1.23626,1.2278,1.2301,9777
2024-08-24,1.23007,1.23318,1.22473,1.22936,9500
2024-08-25,1.22898,1.23753,1.22821,1.22972,9629
2024-08-26,1.2297,1.23724,1.22698,1.234,9765
2024-08-27,1.23466,1.24405,1.22849,1.24045,9055
2024-08-28,1.24036,1.24586,1.23484,1.24192,9770
2024-08-29,1.24261,1.24773,1.23489,1.24566,10431
2024-08-30,1.24561,1.25441,1.24461,1.24834,9980
2024-08-31,1.24817,1.25095,1.24028,1.24159,9481
